Keypress	Command
⌘ + X	Cut line
⌘ + ↩	Insert line after
⌘ + ⇧ + ↩	Insert line before
⌘ + ⌃ + ↑	Move line/selection up
⌘ + ⌃ + ↓	Move line/selection down
⌘ + L	Select line - Repeat to select next lines
⌘ + D	Select word - Repeat to select next occurrence
⌃ + ⌘ + G	Select all occurrences of current selection
⌃ + ⇧ + ↑	Extra cursor on the line above
⌃ + ⇧ + ↓	Extra cursor on the line below
⌃ + M	Jump to closing parentheses Repeat to jump to opening parentheses
⌃ + ⇧ + M	Select all contents of the current parentheses
⌃ + A, ⌘ + Left	Move to beginning of line
⌃ + E, ⌘ + Right	Move to end of line
⌘ + K, ⌘ + K	Delete from cursor to end of line
⌘ + K + ⌫	Delete from cursor to start of line
⌘ + ]	Indent current line(s)
⌘ + [	Un-indent current line(s)
⌘ + ⇧ + D	Duplicate line(s)
⌘ + J	Join line below to the end of the current line
⌘ + /	Comment/un-comment current line
⌘ + ⌥ + /	Block comment current selection
⌘ + Y	Redo, or repeat last keyboard shortcut command
⌘ + ⇧ + V	Paste and indent correctly
⌃ + Space	Select next auto-complete suggestion
⌃ + U	Soft undo; jumps to your last change before undoing change when repeated
⌃ + ⇧ + Up	Column selection up
⌃ + ⇧ + Down	Column selection down
⌃ + ⇧ + W	Wrap Selection in html tag
⌃ + ⇧ + K	Delete current line of cursor
